"ID","Q","1","2","3","4","ANS","TEXT","LINK","","","","","","","","","","","","","","","","","",""
"40","A user wants to disable connection draining on an existing ELB. Which of the below mentioned statements helps the user disable connection draining on the ELB?","(A)The user can only disable connection draining from CLI","(B) It is not possible to disable the connection draining feature once enabled","(C)The user can disable the connection draining feature from EC2 -> ELB console or from CLI
","(D)The user needs to stop all instances before disabling connection draining","C","The Elastic Load Balancer connection draining feature causes the load balancer to stop
sending new requests to the back-end instances when the instances are deregistering or
become unhealthy, while ensuring that inflight requests continue to be served. The user
can enable or disable connection draining from the AWS EC2 console -> ELB or using CLI","https://docs.aws.amazon.com/elasticloadbalancing/latest/classic/config-conn-drain.html","","","","","","","","","","","","","","","","","",""
"41","A user has a refrigerator plant. The user is measuring the temperature of the plant every 15 minutes. If the user wants to send the data to CloudWatch to view the data visually, which of the below mentioned statements is true with respect to the information given above?","(A)The user needs to use AWS CLI or API to upload the data","(B)The user can use the AWS Import Export facility to import data to CloudWatch","(C)The user will upload data from the AWS console
","(D)The user cannot upload data to CloudWatch since it is not an AWS service metric","A","The user needs to use AWS CLI or API to upload the data","https://aws.amazon.com/cli/","","","","","","","","","","","","","","","","","",""
"42","Which set of Amazon S3 features helps to prevent and recover from accidental data loss?

","(A)Object lifecycle and service access logging","(B)Object versioning and Multi-factor authentication","(C)Access controls and server-side encryption
","(D)Website hosting and Amazon S3 policies","B","Versioning-enabled buckets enable you to recover objects from accidental deletion or overwrite

In addition to that, they have made it a requirement that delete operations on versioned data can only be done using MFA (Multi factor authentication)","https://docs.aws.amazon.com/AmazonS3/latest/dev/Versioning.html","","","","","","","","","","","","","","","","","",""
"43","A t2.medium EC2 instance type must be launched with what type of Amazon Machine
Image (AMI)?
","(A)An Instance store Hardware Virtual Machine AMI","(B)An Instance store Paravirtual AMI","(C)An Amazon EBS-backed Hardware Virtual Machine AMI","(C)An Amazon EBS-backed Paravirtual AMI","C","as per explanation link:
You must launch a T2 instance using an HVM AMI. For more information, see Linux AMI Virtualization Types.

You must launch your T2 instances using an EBS volume as the root device. For more information, see Amazon EC2 Root Device Volume.","https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/creating-an-ami-ebs.html","","","","","","","","","","","","","","","","","",""
"44","A photo-sharing service stores pictures in Amazon Simple Storage Service (S3) and allows application sign-in using an OpenID Connect-compatible identity provider. Which AWS Security Token Service approach to temporary access should you use for the Amazon S3 operations?
","(A) SAML-based Identity Federation","(B) Cross-Account Access","(C) AWS Identity and Access Management roles","(D)  Web Identity Federation","D","Web identity federation – You can let users sign in using a well-known third party identity provider such as Login with Amazon, Facebook, Google, or any OpenID Connect (OIDC) 2.0 compatible provider.

AWS STS web identity federation supports Login with Amazon, Facebook, Google, and any OpenID Connect (OICD)-compatible identity provider.","https://docs.aws.amazon.com/IAM/latest/UserGuide/id_roles_providers_oidc.html","","","","","","","","","","","","","","","","","",""
"45","You manually launch a NAT AMI in a public subnet. The network is properly configured. Security groups and network access control lists are property configured. Instances in a private subnet can access the NAT. The NAT can access the Internet. However, private instances cannot access the Internet. What additional step is required to allow access from the private instances?
","(A) Enable Source/Destination Check on the private Instances.","(B) Enable Source/Destination Check on the NAT instance.","(C) Disable Source/Destination Check on the private instances.
 ","(D)  Disable Source/Destination Check on the NAT instance.","D","By default the NAT will perform Source Checks before it forwards the packet it received from EC2 instance out to the Internet and hence Source Checks need to be disabled on the NAT instance.","https://docs.aws.amazon.com/vpc/latest/userguide/VPC_NAT_Instance.html","","","","","","","","","","","","","","","","","",""
"46","Your entire AWS infrastructure lives inside of one Amazon VPC. You have an Infrastructure monitoring application running on an Amazon instance in Availability Zone (AZ) A of the region, and another application instance running in AZ B. The monitoring application needs to make use of ICMP ping to confirm network reachability of the instance hosting the application. Can you configure the security groups for these instances to only allow the ICMP ping to pass from the monitoring instance to the application instance and nothing else? If so how","(A)No, two instances in two different AZ's can't talk directly to each other via ICMP ping as that protocol is not allowed across subnet (iebroadcast) boundaries","(B)Yes, both the monitoring instance and the application instance have to be a part of the same security group, and that security group needs to allow inbound ICMP","(C)Yes, the security group for the monitoring instance needs to allow outbound ICMP and the application instance's security group needs to allow Inbound ICMP","(D)Yes, both the monitoring instance's security group and the application instance's security group need to allow both inbound and outbound ICMP ping packets since ICMP is not a connection-oriented protocol","D","Both security groups should allow Inbound ICMP","https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/security-group-rules-reference.html","","","","","","","","","","","","","","","","","",""
"47","You have a web-style application with a stateless but CPU and memory-intensive web tier running on a cc2 8xlarge EC2 instance inside of a VPC The instance when under load is having problems returning requests within the SLA as defined by your business The application maintains its state in a DynamoDB table, but the data tier is properly provisioned and responses are consistently fast.
How can you best resolve the issue of the application responses not meeting your SLA?","(A)Add another cc2 8xlarge application instance, and put both behind an Elastic Load Balancer","(B)Move the cc2 8xlarge to the same Availability Zone as the DynamoDB table","(C)Cache the database responses in ElastiCache for more rapid access","(D)Move the database from DynamoDB to RDS MySQL in scale-out read-replica configuration","B","stateless – so you cant use load balancer.. And its a VPC so they both are may be in different availability zone.. Placing this web/app server along with the DB server since they store the sessions in Dynamo DB is the right answer","https://www.google.com/search?client=ubuntu&hs=VSF&channel=fs&ei=FFyeW43KBYuH8wX80qzgDQ&q=crosszone+archive+aws&oq=crosszone+archive+aws&gs_l=psy-ab.3...5370.10991.0.11083.28.25.2.0.0.0.144.1758.19j4.25.0..2..0...1.1.64.psy-ab..1.22.1484.6..0j0i7i30k1j0i30k1j35i39k1j0i67k1j0i203k1j0i10i203k1j0i10k1j0i22i30k1j0i22i10i30k1j33i160k1j33i21k1.148.30GuQrmX34U","","","","","","","","","","","","","","","","","",""
"48","You are designing a system that has a Bastion host. This component needs to be highly available without human intervention. Which of the following approaches would you select?","(A)Run the bastion on two instances one in each AZ","(B)Run the bastion on an active Instance in one AZ and have an AMI ready to boot up in the event of failure","(C)Configure the bastion instance in an Auto Scaling group. Specify the Auto Scaling group to include multiple AZs but have a min-size of 1 and max-size of 1","(D)Configure an ELB in front of the bastion instance","C","For answer A, even you have two instances in two AZ, if both of them happens to have issue with the underlying host or with the OS at the same time, you will have no available bastion host and you need to manually relaunch the instance.

However for answer C, the ASG will keep an eye on the instance health, if the instance failed the status check, ASG is going to kill the existing instance and automatically launch a new one. Together with multi AZ ASG, even if u only have one instance in one AZ at a time, its highly available because if the instance fail or you lost an AZ, ASG will spin up a new instance in the available AZ automatically. This is call self healing","https://docs.aws.amazon.com/quickstart/latest/linux-bastion/architecture.html","","","","","","","","","","","","","","","","","",""
"49","You run a web application where web servers on EC2 Instances are in an Auto Scaling group. Monitoring over the last 6 months shows that 6 web servers are necessary to handle the minimum load During the day up to 12 servers are needed five to six days per year, the number of web servers required might go up to 15.
What would you recommend to minimize costs while being able to provide hill availability?","(A)6 Reserved instances (heavy utilization). 6 Reserved instances {medium utilization), rest covered by On-Demand instances","(B)6 Reserved instances (heavy utilization). 
6 On-Demand instances, rest covered by Spot Instances","(C)6 Reserved instances (heavy utilization) 6 Spot instances, rest covered by On-Demand instances","(D)6 Reserved instances (heavy utilization) 6 Reserved instances (medium utilization) rest covered by Spot instances","B","(B)as the 2nd 6 instances not always needed, should be choose on-demand type instance, not the always there reserved type.","https://aws.amazon.com/about-aws/whats-new/2018/01/introducing-aws-auto-scaling/","","","","","","","","","","","","","","","","","",""
"50","You have set up Individual AWS accounts for each project. You have been asked to make sure your AWS Infrastructure costs do not exceed the budget set per project for each month. Which of the following approaches can help ensure that you do not exceed the budget each month?","(A)Consolidate your accounts so you have a single bill for all accounts and projects","(B)Set up auto scaling with CloudWatch alarms using SNS to notify you when you are running too many Instances in a given account","(C)Set up CloudWatch billing alerts for all AWS resources used by each project, with a notification occurring when the amount for each resource tagged to a particular project matches the budget allocated to the project.","(D)Set up CloudWatch billing alerts for all AWS resources used by each account, with email notifications when it hits 50%. 80% and 90% of its budgeted monthly spend","D","because the action should be “prevention” and option (C) just alert when the project bill matched the budget.","https://docs.aws.amazon.com/AmazonCloudWatch/latest/monitoring/gs_monitor_estimated_charges_with_cloudwatch.html","","","","","","","","","","","","","","","","","",""
"51","If you want to launch Amazon Elastic Compute Cloud (EC2) Instances and assign each Instance a predetermined private IP address you should:","(A)  Assign a group or sequential Elastic IP address to the instances ","(B)  Launch the instances in a Placement Group","(C) Launch the instances in the Amazon virtual Private Cloud (VPC).","(D) Use standard EC2 instances since each instance gets a private Domain Name Service (DNS) already","C","Each & every EC2 instance use a private IP attached to its ENI. When you launch an instance it gives you an option to assign primary & secondary private IP addresses from your selected subnet. The default setting is to draw a private IP from the same subnet randomly. Yes you always launch an EC2 instance in a VPC; previoulsy it was different when they used to have Classic EC2 model.","https://www.edureka.co/blog/interview-questions/top-aws-architect-interview-questions-2016/","","","","","","","","","","","","","","","","","",""
"52","An existing application stores sensitive information on a non-boot Amazon EBS data volume attached to an Amazon Elastic Compute Cloud instance. Which of the following approaches would protect the sensitive data on an Amazon EBS volume?
","(A)Upload your customer keys to AWS CloudHSM. Associate the Amazon EBS volume with AWS CloudHSM. Re-mount the Amazon EBS volume.","(B)Create and mount a new, encrypted Amazon EBS volume. Move the data to the new
volume. Delete the old Amazon EBS volume.","(C)Unmount the EBS volume. Toggle the encryption attribute to True. Re-mount the
Amazon EBS volume","(D)Snapshot the current Amazon EBS volume. Restore the snapshot to a new, encrypted
Amazon EBS volume. Mount the Amazon EBS volume
","D","
The reason D is not a valid answer is because you cannot ever restore a snapshot to an existing volume. You can use a snapshot to create a volume, but you cannot restore a snapshot over the top of a volume.

The best steps to follow are

1. Snapshot the current Amazon EBS volume

2. Copy the unencrypted snapshot and choose the ""Encrypt this snapshot"" option

3. Create a volume from the now-encrypted snapshot

4. Mount the Amazon EBS volume","https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/ebs-creating-snapshot.html","","","","","","","","","","","","","","","","","",""
"53","You are attempting to connect to an instance in Amazon VPC without success. 
You have already verified that the VPC has an Internet Gateway (IGW) the instance has an associated Elastic IP (EIP) and correct security group rules are in place.
Which VPC component should you evaluate next?","(A)The configuration of a NAT instance","(B)The configuration of the Routing Table","(C)The configuration of the internet Gateway (IGW)","(D)The configuration of SRC/DST checking","B","When instance has internet Gateway attached and EIP is associated then you will have to check the route table.

","https://docs.aws.amazon.com/vpc/latest/userguide/VPC_Route_Tables.html","","","","","","","","","","","","","","","","","",""
"54","You are tasked with the migration of a highly trafficked Node JS application to AWS in order to comply with organizational standards Chef recipes must be used to configure the application servers that host this application and to support application lifecycle events.
Which deployment option meets these requirements while minimizing administrative burden?","(A)Create a new stack within Opsworks add the appropriate layers to the stack and deploy the application","(B)Create a new application within Elastic Beanstalk and deploy this application to a new environment","(C)Launch a Mode JS server from a community AMI and manually deploy the application to the launched EC2 instance","(D)Launch and configure Chef Server on an EC2 instance and leverage the AWS CLI to launch application servers and configure those instances using Chef.","A","as OpsWorks heavily leverages Chef, much more so than Elastic Beanstalk which would be more aligned with tools like Python, .Net, Node JS, etc.","https://aws.amazon.com/opsworks/","","","","","","","","","","","","","","","","","",""
"55","You are creating an Auto Scaling group whose Instances need to insert a custom metric into CloudWatch. Which method would be the best way to authenticate your CloudWatch PUT request?","(A)Create an IAM role with the Put MetricData permission and modify the Auto Scaling launch configuration to launch instances in that role","(B)Create an IAM user with the PutMetricData permission and modify the Auto Scaling
launch configuration to inject the userscredentials into the instance User Data","(C)Modify the appropriate Cloud Watch metric policies to allow the Put MetricData permission to
instances from the Auto Scaling group
","(D)Create an IAM user with the PutMetricData permission and put the credentials in a
private repository and have applications on the server pull the credentials as needed","A","Access to Amazon CloudWatch requires credentials.” Credentials are best distributed as policies associated with roles. That way the EC2 instace can created endles custom metrics with one role.","https://docs.aws.amazon.com/AmazonCloudWatch/latest/monitoring/permissions-reference-cw.html","","","","","","","","","","","","","","","","","",""
"56","You receive a frantic call from a new DBA who accidentally dropped a table containing all your customers.
Which Amazon RDS feature will allow you to reliably restore your database to within 5 minutes of when the mistake was made?","(A)Multi-AZ RDS","(B)RDS snapshots","(C)RDS read replicas","(D)RDS automated backup","D","because the automated backup allows you to choose from many snapshots, including the PITC reflected in the `describe-db-instances'","https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/USER_WorkingWithAutomatedBackups.html","","","","","","","","","","","","","","","","","",""
"57","A user is planning to use AWS Cloud formation for his automatic deployment requirements. 
Which of the below mentioned components are required as a part of the template?","(A) Parameters","(B)Outputs","(C)Template version","(D)Resources","D","AWS Cloud formation is an application management tool which provides application modelling, deployment, configuration, management and related activities. 
The template is a JSON-format, text- based file that describes all the AWS resources required to deploy and run an application. 
It can have option fields, such as Template Parameters, Output, Data tables, and Template file format version. 
The only mandatory value is Resource. The user can define the AWS services which will be used/ created by this template inside the Resource section","https://docs.aws.amazon.com/awsconsolehelpdocs/latest/gsg/what-are-resource-groups.html","","","","","","","","","","","","","","","","","",""
"58","An organization's security policy requires multiple copies of all critical data to be replicated across at least a primary and backup data center. The organization has decided to store some critical data on Amazon S3. Which option should you implement to ensure this requirement is met?","(A)Use the S3 copy API to replicate data between two S3 buckets in different regions","(B)You do not need to implement anything since S3 data is automatically replicated between regions","(C)Use the S3 copy API to replicate data between two S3 buckets in different facilities within an AWS Region","(D)You do not need to implement anything since S3 data is automatically replicated between multiple facilities within an AWS Region","D","From the AWS docs, ""To increase durability, Amazon S3 synchronously stores your data across multiple facilities before confirming that the data has been successfully stored."" 
S3 does support cross-region replication, but the data from the source bucket is copied to a separate bucket located in another region.","https://docs.aws.amazon.com/AmazonS3/latest/dev/UsingBucket.html","","","","","","","","","","","","","","","","","",""
"59","Your team Is excited about the use of AWS because now they have access to programmable Infrastructure"" You have been asked to manage your AWS infrastructure in a manner similar to the way you might manage application code You want to be able to deploy exact copies of different versions of your infrastructure, stage changes into different environments, revert back to previous versions, and identify what versions are running at any particular time (development test QA. production).
Which approach addresses this requirement?","(A)Use cost allocation reports and AWS Opsworks to deploy and manage your infrastructure.","(B)Use AWS CloudWatch metrics and alerts along with resource tagging to deploy and manage your infrastructure.","(C)Use AWS Beanstalk and a version control system like GIT to deploy and manage your infrastructure.","(D)Use AWS CloudFormation and a version control system like GIT to deploy and manage your infrastructure.","D","(A) is wrong, Chef can go fetch versions from Github or Subversion, and is a configuration management tool                  
(B) is wrong , use CloudWatch to track resource allocations via high/low watermarks and alarms
(C) is wrong, Elastic Beanstalk runs a single version of your application.                                                                          (D) Cloud Formation for multiple infrastructure versions.","https://aws.amazon.com/cloudformation/","","","","","","","","","","","","","","","","","",""
"60","You have a server with a 5O0GB Amazon EBS data volume. The volume is 80% full. You need to back up the volume at regular intervals and be able to re-create the volume in a new Availability Zone in the shortest time possible. All applications using the volume can be paused for a period of a few minutes with no discernible user impact.
Which of the following backup methods will best fulfill your requirements?","(A)Take periodic snapshots of the EBS volume","(B)Use a third party Incremental backup application to back up to Amazon Glacier","(C)Periodically back up all data to a single compressed archive and archive to Amazon S3 using a parallelized multi-part upload","(D)Create another EBS volume in the second Availability Zone attach it to the Amazon EC2 instance, and use a disk manager to mirror me two disks","D","answer D implies your attaching an EBS volume to the original EC2 instance in the original AZ and that’s not possible.

EBS volumes can only be attached to EC2 instances within the same Availability Zone.

","https://aws.amazon.com/ebs/","","","","","","","","","","","","","","","","","",""
"61","How can the domain's zone apex for example ""myzoneapexdomain com"" be pointed towards an Elastic Load Balancer?","(A)By using an AAAA record","(B)By using an A record","(C)By using an Amazon Route 53 CNAME record","(D)By using an Amazon Route 53 Alias record","D","You can create an alias resource record set at the zone apex. You cannot create a CNAME record at the top node of a DNS namespace, also known as the zone apex. For example, if you register the DNS name example.com, the zone apex is example.com.","https://docs.aws.amazon.com/Route53/latest/DeveloperGuide/resource-record-sets-choosing-alias-non-alias.html","","","","","","","","","","","","","","","","","",""
"62","An organization has created 5 IAM users. 
The organization wants to give them the same login ID but different passwords. How can the organization achieve this?","(A)The organization should create a separate login ID but give the IAM users the same alias so that each one can login with their alias","(B)The organization should create each user in a separate region so that they have their own URL to login","(C)It is not possible to have the same login ID for multiple IAM users of the same account","(D)The organization should create various groups and add each user with the same login ID to different groups. The user can login with their own group ID","C","AWS Identity and Access Management is a web service which allows organizations to manage users and user permissions for various AWS services. Whenever the organization is creating an IAM user, there should be a unique ID for each user. It is not possible to have the same login ID for multiple users. The names of users,groups, roles, instance profiles must be alphanumeric, including the following common characters: plus (+., equal (=., comma (,., period (.., at (@., and dash (-..","https://docs.aws.amazon.com/IAM/latest/UserGuide/id_users_create.html","","","","","","","","","","","","","","","","","",""
"63","A user is planning to evaluate AWS for their internal use. 
The user does not want to incur any charge on his account during the evaluation. 
Which of the below mentioned AWS services would incur a charge if used?","(A)AWS S3 with 1 GB of storage","(B)AWS micro instance running 24 hours daily","(C)AWS ELB running 24 hours a day","(D)AWS IOPS volume of 10 GB size","D","AWS is introducing a free usage tier for one year to help the new AWS customers get started in Cloud. 
The free tier can be used for anything that the user wants to run in the Cloud. 
AWS offers a handful of AWS services as a part of this which includes 750 hours of free micro instances and 750 hours of ELB. 
It includes the AWS S3 of 5 GB and AWS EBS general purpose volume upto 30 GB. PIOPS is not part of free usage tier.","https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/EBSVolumeTypes.html","","","","","","","","","","","","","","","","","",""
"64","A user has developed an application which is required to send the data to a NoSQL database. The user wants to decouple the data sending such that the application keeps processing and sending data but does not wait for an acknowledgement of DB. Which of the below mentioned applications helps in this scenario?","(A)AWS Simple Notification Service","(B)AWS Simple Workflow","(C)AWS Simple Queue Service","(D)AWS Simple Query Service","C","Amazon Simple Queue Service (SQS) is a fast, reliable, scalable, fully managed message queuing service. SQS makes it simple and cost-effective to decouple the components of a cloud application. You can use SQS to transmit any volume of data, at any level of throughput, without losing messages or requiring other services to be always available.","https://aws.amazon.com/sqs/","","","","","","","","","","","","","","","","","",""
"65","An organization has created 50 IAM users. The organization has introduced a new policy which will change the access of an IAM user. How can the organization implement this effectively so that there is no need to apply the policy at the individual user level?","(A)Use the IAM groups and add users as per their role to different groups and apply policy to group","(B)The user can create a policy and apply it to multiple users in a single go with the AWS CLI","(C)Add each user to the IAM role as per their organization role to achieve effective policy setup","(D)Use the IAM role and implement access at the role level","A","Use the IAM groups and add users as per their role to different groups and apply policy to group

An IAM group is a collection of IAM users. You can use groups to specify permissions for a collection of users, which can make those permissions easier to manage for those users.","https://docs.aws.amazon.com/cognito/latest/developerguide/cognito-user-pools-user-groups.html","","","","","","","","","","","","","","","","","",""
"66","Your application currently leverages AWS Auto Scaling to grow and shrink as load Increases , decreases and has been performing well. Your marketing team expects a steady ramp up in traffic to follow an upcoming campaign that will result in a 20x growth in traffic over 4 weeks. (Your forecast for the approximate number of Amazon EC2 instances necessary to meet the peakdemand is 175)","(A)Ensure that you have pre-allocated 175 Elastic IP addresses so that each server will be able to obtain one as it launches","(B)Check the service limits in Trusted Advisor and adjust as necessary so the forecasted
count remains within limits.","(C)Change your Auto Scaling configuration to set a desired capacity of 175 prior to the launch
of the marketing campaign","(D)Pre-warm your Elastic Load Balancer to match the requests per second anticipated during
peak demand prior to the marketing campaign","B","(A) Given that you'll almost certainly be using an ELB, you don't even need to give the EC2 instances public IP addresses, much less elastic ones.                                                                                 (B)Trusted Advisor is not the place where you request to have your service limits adjusted, but it is the place where you can check what your current service limits are and how close you've gotten to hitting them. Given that the default limit for EC2s is far below 175 (it's 20, I think), this limit will need to be addressed to prevent scaling failure

(C) It would be massively wasteful to force scaling to 175 instances at the beginning of the campaign, when you still only need 9 of them. This is way overkill.

(D)As I mentioned, above, I really do think you'll be using an ELB for this system, but prewarming ELBs is something you only have to do when you know to expect a sudden spike in requests, not the steady growth described in the question. (For example, you would prewarm your ""Green"" environment's ELB if you were about to cut your production deployment over from ""Blue"" to ""Green"".)","https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/using-regions-availability-zones.html","","","","","","","","","","","","","","","","","",""
"67","A user has recently started using EC2. The user launched one EC2 instance in the default subnet in EC2-VPC. Which of the below mentioned options is not attached or available with the EC2 instance when it is launched?","(A)Public IP address","(B)Internet gateway","(C)Elastic IP","(D)Private IP address","C","EC2-VPC
Allocating an Elastic IP address
When you allocate an Elastic IP address, it’s for use in EC2-Classic; however, you can migrate an Elastic IP address to the EC2-VPC platform. For more information, see Migrating an Elastic IP Address from EC2-Classic to EC2-VPC.
When you allocate an Elastic IP address, it’s for use only in a VPC.","https://docs.aws.amazon.com/vpc/latest/userguide/vpc-eips.html","","","","","","","","","","","","","","","","","",""
"68","A user has launched an EC2 instance. 
The user is planning to setup the CloudWatch alarm. 
Which of the below mentioned actions is not supported by the CloudWatch alarm?","(A)Notify the Auto Scaling launch config to scale up","(B)Send an SMS using SNS","(C)Notify the Auto Scaling group to scale down","(D)Stop the EC2 instance","B","A user can create a CloudWatch alarm that takes various actions when the alarm changes state. 
An alarm watches a single metric over the time period that the user has specified, 
and performs one or more actions based on the value of the metric relative to a given threshold over a number of time periods. 
The actions could be sending a notification to an Amazon Simple Notification Service topic (SMS, Email, and HTTP end point.,notifying the Auto Scaling policy or changing the state of the instance to Stop/Terminate.","https://docs.aws.amazon.com/sns/latest/dg/SMSMessages.html","","","","","","","","","","","","","","","","","",""
"69","A user is trying to delete an Auto Scaling group from CLI. 
Which of the below mentioned steps are to be performed by the user?","(A)Terminate the instances with the ec2-terminate-instance command","(B)Terminate the Auto Scaling instances with the as-terminate-instance command","(C)Set the minimum size and desired capacity to 0","(D)There is no need to change the capacity. Run the as-delete-group command and it will reset all values to 0","C","If the user wants to delete the Auto Scaling group, the user should manually set the values of the minimum and desired capacity to 0. 
Otherwise Auto Scaling will not allow for the deletion of the group from CLI. 
While trying from the AWS console, the user need not set the values to 0 as the Auto Scaling console will automatically do so.","https://docs.aws.amazon.com/autoscaling/ec2/userguide/as-maintain-instance-levels.html","","","","","","","","","","","","","","","","","",""
"70","An organization has created 50 IAM users. 
The organization has introduced a new policy which will change the access of an IAM user. 
How can the organization implement this effectively so that there is no need to apply the policy at the individual user level?","(A)Use the IAM groups and add users as per their role to different groups and apply policy to group","(B)The user can create a policy and apply it to multiple users in a single go with the AWS CLI","(C)Add each user to the IAM role as per their organization role to achieve effective policy setup","(D)Use the IAM role and implement access at the role level","A","With AWS IAM, a group is a collection of IAM users. 
A group allows the user to specify permissions for acollection of users, which can make it easier to manage the permissions for those users. 
A group helps an organization manage access in a better way; instead of applying at the individual level, 
the organization can apply at the group level which is applicable to all the users who are a part of that group.","https://docs.aws.amazon.com/IAM/latest/UserGuide/id_groups.html","","","","","","","","","","","","","","","","","",""
"71","An organization is planning to use AWS for their production roll out. 
The organization wants to implement automation for deployment such that it will automatically create a LAMP stack, download the latest PHP
installable from S3 and setup the ELB. Which of the below mentioned AWS services meets the quirement for making an orderly deployment of the software?","(A)AWS Elastic Beanstalk","(B)AWS Cloudfront","(C)AWS Cloudformation","(D)AWS DevOps","C","AWS Cloudformation is an application management tool which provides application modelling, deployment, configuration, management and related activities. Cloudformation provides an easy way to create and delete the collection of related AWS resources and provision them in an orderly way. AWS CloudFormation automates and simplifies the task of repeatedly and predictably creating groups of related resources that power the userâ€™s applications. AWS Cloudfront is a CDN; Elastic Beanstalk does quite a few of the required tasks. However, it is a PAAS which uses a ready AMI. AWS Elastic Beanstalk provides an environment to easily develop and run applications in the cloud.","https://docs.aws.amazon.com/AWSCloudFormation/latest/UserGuide/aws-resource-init.html","","","","","","","","","","","","","","","","","",""
"72","A user has created a web application with Auto Scaling. The user is regularly monitoring the application and he observed that the traffic is highest on Thursday and Friday between 8 AM to 6 PM. What is the best solution to handle scaling in this case?","(A)Add a new instance manually by 8 AM Thursday and terminate the same by 6 PM Friday","(B)Schedule Auto Scaling to scale up by 8 AM Thursday and scale down after 6 PM on Friday","(C)Schedule a policy which may scale up every day at 8 AM and scales down by 6 PM","(D)Configure a batch process to add a instance by 8 AM and remove it by Friday 6 PM","B","(B)Schedule Auto Scaling to scale up by 8 AM Thursday and scale down after 6 PM on Friday","https://docs.aws.amazon.com/autoscaling/ec2/userguide/schedule_time.html","","","","","","","","","","","","","","","","","",""
"73","Which route must be added to your routing table in order to allow connections to the Internet from your subnet?
","(A)  Destination: 0.0.0.0/0 --> Target: your Internet gateway
","(B) Destination: 192.168.1.257/0 --> Target: your Internet gateway
","Destination: 0.0.0.0/33 --> Target: your virtual private gateway
","(D) Destination: 10.0.0.0/32 --> Target: your virtual private gateway","A","","https://docs.aws.amazon.com/vpc/latest/userguide/VPC_Route_Tables.html","","","","","","","","","","","","","","","","","",""
"74","A user has setup a billing alarm using CloudWatch for $200. 
The usage of AWS exceeded $200 after some days. 
The user wants to increase the limit from $200 to $400? 
What should the user do?","(A)Create a new alarm of $400 and link it with the first alarm","(B)It is not possible to modify the alarm once it has crossed the usage limit","(C)Update the alarm to set the limit at $400 instead of $200","(D)Create a new alarm for the additional $200 amount","C","AWS CloudWatch supports enabling the billing alarm on the total AWS charges. 
The estimated charges are calculated and sent several times daily to CloudWatch in the form of metric data. 
This data will be stored for 14 days. This data also includes the estimated charges for every service in AWS used by the user, as well as the estimated overall AWS charges. 
If the user wants to increase the limit, the user can modify the alarm and specify a new threshold.","https://docs.aws.amazon.com/AmazonCloudWatch/latest/monitoring/AlarmThatSendsEmail.html","","","","","","","","","","","","","","","","","",""
"75","A sysadmin has created the below mentioned policy on an S3 bucket named hadoopexam. 
The bucket has both AWS.jpg and index.html objects.

What does this policy define?

""Statement"": [{

""Sid"": ""Stmt11111111111111"",

""Effect"": ""Allow"",

""Principal"": { ""AWS"": ""*""},

""Action"": [ ""s3:GetObjectAcl"", ""s3:ListBucket"", ""s3:GetObject""],

""Resource"": [ ""arn:aws:s3:::hadoopexam/*.jpg]

}] 
","(A) It will make all the objects as well as the bucket public","(B)It will throw an error for the wrong action and does not allow to save the policy","(C)It will make the AWS.jpg object as public","(D) It will make the AWS.jpg as well as the hadoopexam bucket as public","B","A sysadmin can grant permission to the S3 objects or the buckets to any user or make objects public using the bucket policy and user policy. 
Both use the JSON-based access policy language. Generally if user is defining the ACL on the bucket, the objects in the bucket do not inherit it and vice a versa. 
The bucket policy can be defined at the bucket level which allows the objects as well as the bucket to be public with a single policy applied to that bucket. 
In the below policy the action says ""S3:ListBucket"" for effect Allow and when there is no bucket name mentioned as a part of the resource, it will throw an error and not save the policy.","https://docs.aws.amazon.com/AmazonS3/latest/dev/UsingBucket.html","","","","","","","","","","","","","","","","","",""
"76","Which is an operational process performed by AWS for data security?","(A)AES-256 encryption of data stored on any shared storage device (User responsibility)","(B)Decommissioning of storage devices using industry-standard practices","(C)Background virus scans of EBS volumes and EBS snapshots (No virus scan is performed by AWS on User instances)","(D)Replication of data across multiple AWS Regions (AWS does not replicate data across regions unless done by User)","B","(A) is incorrect, because although you can encrypt EBS volumes, it isn't done ""on any shared storage device""

(C) is incorrect because according to the shared security model, AWS isn't responsible for what goes on EBS volumes, and nothing I've ever read suggests they do anti-virus.

(D) is incorrect because AWS never copies EBS volumes or snapshots across regions. Only under very specific circumstances will AWS copy data across regions, S3 can be configured to do it, and so can DynamoDB.


","https://aws.amazon.com/compliance/data-privacy-faq/","","","","","","","","","","","","","","","","","",""
